%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
88AB ; [.4E94.0000.0007.88AB] % ±ª
6896 ; [.4E95.0000.0007.6896] % óf
73FC ; [.4E96.0000.0007.73FC] % ¨D
9101 ; [.4E97.0000.0007.9101] % ‡f
5099 ; [.4E98.0000.0007.5099] % Ç‰
7119 ; [.4E99.0000.0007.7119] % ±∫
7432 ; [.4E9A.0000.0007.7432] % ¨i
84D3 ; [.4E9B.0000.0007.84D3] % ›Ì
7295 ; [.4E9C.0000.0007.7295] % †Õ
8919 ; [.4E9D.0000.0007.8919] % Òÿ
8A96 ; [.4E9E.0000.0007.8A96] % ’R
8F29 ; [.4E9F.0000.0007.8F29] % ›Ö
92C7 ; [.4EA0.0000.0007.92C7] % ‰^
618A ; [.4EA1.0000.0007.618A] % ëv
7CD2 ; [.4EA2.0000.0007.7CD2] % ºL
81C2 ; [.4EA3.0000.0007.81C2] % ±€
5970 ; [.4EA4.0000.0007.5970] % ä`
5305 ; [.4EA5.0000.0007.5305] % ∞¸
5B62 ; [.4EA6.0000.0007.5B62] % Êﬂ
82DE ; [.4EA7.0000.0007.82DE] % ∞˙
67B9 ; [.4EA8.0000.0007.67B9] % ñ¢
80DE ; [.4EA9.0000.0007.80DE] % ∞˚
7B23 ; [.4EAA.0000.0007.7B23] % ∏ù
8554 ; [.4EAB.0000.0007.8554] %  }
8912 ; [.4EAC.0000.0007.8912] % ∞˝
74DD ; [.4EAD.0000.0007.74DD] % ≠ì
7A87 ; [.4EAE.0000.0007.7A87] % ∑ë
96F9 ; [.4EAF.0000.0007.96F9] % ±¢
6009 ; [.4EB0.0000.0007.6009] % êA
4FDD ; [.4EB1.0000.0007.4FDD] % ±£
5821 ; [.4EB2.0000.0007.5821] % ±§
5AAC ; [.4EB3.0000.0007.5AAC] % ã~
8446 ; [.4EB4.0000.0007.8446] % ›·
98FD ; [.4EB5.0000.0007.98FD] % Ôñ
8913 ; [.4EB6.0000.0007.8913] % ÒŸ
99C2 ; [.4EB7.0000.0007.99C2] % Òh
9CF5 ; [.4EB8.0000.0007.9CF5] % ¯R
9D07 ; [.4EB9.0000.0007.9D07] % ¯d
5BF6 ; [.4EBA.0000.0007.5BF6] % åö
5228 ; [.4EBB.0000.0007.5228] % ≈Ÿ
62B1 ; [.4EBC.0000.0007.62B1] % ±ß
8C79 ; [.4EBD.0000.0007.8C79] % ±™
8DB5 ; [.4EBE.0000.0007.8DB5] % ı¿
83E2 ; [.4EBF.0000.0007.83E2] % «ò
888C ; [.4EC0.0000.0007.888C] % –à
5831 ; [.4EC1.0000.0007.5831] % àÛ
7172 ; [.4EC2.0000.0007.7172] % Ï“
924B ; [.4EC3.0000.0007.924B] % „E
66B4 ; [.4EC4.0000.0007.66B4] % ±©
8663 ; [.4EC5.0000.0007.8663] % Ãô
9B91 ; [.4EC6.0000.0007.9B91] % ıU
5124 ; [.4EC7.0000.0007.5124] % Éò
5697 ; [.4EC8.0000.0007.5697] % á•
7206 ; [.4EC9.0000.0007.7206] % ±¨
72A6 ; [.4ECA.0000.0007.72A6] % †›
5FC1 ; [.4ECB.0000.0007.5FC1] % èﬁ
9464 ; [.4ECC.0000.0007.9464] % Ët
6273 ; [.4ECD.0000.0007.6273] % ∞‚
653D ; [.4ECE.0000.0007.653D] % îë
73ED ; [.4ECF.0000.0007.73ED] % ∞‡
822C ; [.4ED0.0000.0007.822C] % ∞„
6591 ; [.4ED1.0000.0007.6591] % ∞ﬂ
642C ; [.4ED2.0000.0007.642C] % ∞·
6592 ; [.4ED3.0000.0007.6592] % î 
9812 ; [.4ED4.0000.0007.9812] % ÓC
7622 ; [.4ED5.0000.0007.7622] % Ò£
8929 ; [.4ED6.0000.0007.8929] % —ó
8668 ; [.4ED7.0000.0007.8668] % Ãû
962A ; [.4ED8.0000.0007.962A] % ⁄Ê
6604 ; [.4ED9.0000.0007.6604] % ïL
677F ; [.4EDA.0000.0007.677F] % ∞Â
7248 ; [.4EDB.0000.0007.7248] % ∞Ê
7C84 ; [.4EDC.0000.0007.7C84] % ª{
8228 ; [.4EDD.0000.0007.8228] % Ù≤
9211 ; [.4EDE.0000.0007.9211] % ‚k
8742 ; [.4EDF.0000.0007.8742] % ŒZ
95C6 ; [.4EE0.0000.0007.95C6] % Èõ
534A ; [.4EE1.0000.0007.534A] % ∞Î
4F34 ; [.4EE2.0000.0007.4F34] % ∞È
626E ; [.4EE3.0000.0007.626E] % ∞Á
59C5 ; [.4EE4.0000.0007.59C5] % äî
6011 ; [.4EE5.0000.0007.6011] % êE
62CC ; [.4EE6.0000.0007.62CC] % ∞Ë
6E74 ; [.4EE7.0000.0007.6E74] % ú∞
7D46 ; [.4EE8.0000.0007.7D46] % ΩO
9261 ; [.4EE9.0000.0007.9261] % „[
977D ; [.4EEA.0000.0007.977D] % Ïá
8FA6 ; [.4EEB.0000.0007.8FA6] % ﬁk
74E3 ; [.4EEC.0000.0007.74E3] % ∞Í
5954 ; [.4EED.0000.0007.5954] % ±º
6CCD ; [.4EEE.0000.0007.6CCD] % õy
6E00 ; [.4EEF.0000.0007.6E00] % ú`
8CC1 ; [.4EF0.0000.0007.8CC1] % ŸS
931B ; [.4EF1.0000.0007.931B] % ÂQ
672C ; [.4EF2.0000.0007.672C] % ±æ
82EF ; [.4EF3.0000.0007.82EF] % ±Ω
755A ; [.4EF4.0000.0007.755A] % €Œ
4F53 ; [.4EF5.0000.0007.4F53] % ÃÂ
574C ; [.4EF6.0000.0007.574C] % €–
7B28 ; [.4EF7.0000.0007.7B28] % ±ø
90A6 ; [.4EF8.0000.0007.90A6] % ∞Ó
57B9 ; [.4EF9.0000.0007.57B9] % à†
6886 ; [.4EFA.0000.0007.6886] % ∞
508D ; [.4EFB.0000.0007.508D] % ∞¯
7E0D ; [.4EFC.0000.0007.7E0D] % øR
5E6B ; [.4EFD.0000.0007.5E6B] % éÕ
97A4 ; [.4EFE.0000.0007.97A4] % ÌD
7D81 ; [.4EFF.0000.0007.7D81] % Ωâ
699C ; [.4F00.0000.0007.699C] % ∞Ò
7253 ; [.4F01.0000.0007.7253] % †•
8180 ; [.4F02.0000.0007.8180] % ∞Ú
6C06 ; [.4F03.0000.0007.6C06] % Î´
868C ; [.4F04.0000.0007.868C] % ∞ˆ
68D2 ; [.4F05.0000.0007.68D2] % ∞Ù
585D ; [.4F06.0000.0007.585D] % âY
78C5 ; [.4F07.0000.0007.78C5] % ∞ı
