%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
51F8 ; [.4EE3.0000.0007.51F8] % Õπ
51F9 ; [.4EE4.0000.0007.51F9] % ∞º
51FA ; [.4EE5.0000.0007.51FA] % ≥ˆ
5209 ; [.4EE6.0000.0007.5209] % ÑW
520A ; [.4EE7.0000.0007.520A] % øØ
520C ; [.4EE8.0000.0007.520C] % ÑY
529F ; [.4EE9.0000.0007.529F] % π¶
52A0 ; [.4EEA.0000.0007.52A0] % º”
5305 ; [.4EEB.0000.0007.5305] % ∞¸
5306 ; [.4EEC.0000.0007.5306] % ¥“
5317 ; [.4EED.0000.0007.5317] % ±±
531C ; [.4EEE.0000.0007.531C] % ÖF
531D ; [.4EEF.0000.0007.531D] % ‘—
5349 ; [.4EF0.0000.0007.5349] % ª‹
534A ; [.4EF1.0000.0007.534A] % ∞Î
534C ; [.4EF2.0000.0007.534C] % Öc
5360 ; [.4EF3.0000.0007.5360] % ’º
5361 ; [.4EF4.0000.0007.5361] % ø®
536E ; [.4EF5.0000.0007.536E] % ÿ¥
536F ; [.4EF6.0000.0007.536F] % √Æ
53BB ; [.4EF7.0000.0007.53BB] % »•
53E4 ; [.4EF8.0000.0007.53E4] % π≈
53E5 ; [.4EF9.0000.0007.53E5] % æ‰
53E6 ; [.4EFA.0000.0007.53E6] % ¡Ì
53E8 ; [.4EFB.0000.0007.53E8] % ﬂ∂
53E9 ; [.4EFC.0000.0007.53E9] % ﬂµ
53EA ; [.4EFD.0000.0007.53EA] % ÷ª
53EB ; [.4EFE.0000.0007.53EB] % Ω–
53EC ; [.4EFF.0000.0007.53EC] % ’Ÿ
53ED ; [.4F00.0000.0007.53ED] % ∞»
53EE ; [.4F01.0000.0007.53EE] % ∂£
53EF ; [.4F02.0000.0007.53EF] % ø…
53F0 ; [.4F03.0000.0007.53F0] % Ã®
53F1 ; [.4F04.0000.0007.53F1] % ﬂ≥
53F2 ; [.4F05.0000.0007.53F2] %  ∑
53F3 ; [.4F06.0000.0007.53F3] % ”“
53F5 ; [.4F07.0000.0007.53F5] % ÿœ
53F8 ; [.4F08.0000.0007.53F8] % Àæ
53FB ; [.4F09.0000.0007.53FB] % ﬂ∑
53FC ; [.4F0A.0000.0007.53FC] % µ
56DA ; [.4F0B.0000.0007.56DA] % «Ù
56DB ; [.4F0C.0000.0007.56DB] % Àƒ
5722 ; [.4F0D.0000.0007.5722] % àN
5723 ; [.4F0E.0000.0007.5723] %  •
5903 ; [.4F0F.0000.0007.5903] % â‡
5916 ; [.4F10.0000.0007.5916] % Õ‚
592E ; [.4F11.0000.0007.592E] % —Î
592F ; [.4F12.0000.0007.592F] % ∫ª
5931 ; [.4F13.0000.0007.5931] %  ß
5974 ; [.4F14.0000.0007.5974] % ≈´
5976 ; [.4F15.0000.0007.5976] % ƒÃ
5B55 ; [.4F16.0000.0007.5B55] % ‘–
5B81 ; [.4F17.0000.0007.5B81] % ƒ˛
5B83 ; [.4F18.0000.0007.5B83] % À¸
5B84 ; [.4F19.0000.0007.5B84] % Â≥
5C12 ; [.4F1A.0000.0007.5C12] % å©
5C15 ; [.4F1B.0000.0007.5C15] % Êÿ
5C3B ; [.4F1C.0000.0007.5C3B] % ÂÍ
5C3C ; [.4F1D.0000.0007.5C3C] % ƒ·
5C73 ; [.4F1E.0000.0007.5C73] % å›
5C74 ; [.4F1F.0000.0007.5C74] % åﬁ
5DE6 ; [.4F20.0000.0007.5DE6] % ◊Û
5DE7 ; [.4F21.0000.0007.5DE7] % «…
5DE8 ; [.4F22.0000.0007.5DE8] % æﬁ
5E02 ; [.4F23.0000.0007.5E02] %  –
5E03 ; [.4F24.0000.0007.5E03] % ≤º
5E04 ; [.4F25.0000.0007.5E04] % éä
5E73 ; [.4F26.0000.0007.5E73] % ∆Ω
5E7C ; [.4F27.0000.0007.5E7C] % ”◊
5E80 ; [.4F28.0000.0007.5E80] % ‚œ
5E82 ; [.4F29.0000.0007.5E82] % éŸ
5F01 ; [.4F2A.0000.0007.5F01] % €Õ
5F17 ; [.4F2B.0000.0007.5F17] % ∏•
5F18 ; [.4F2C.0000.0007.5F18] % ∫Î
5FC5 ; [.4F2D.0000.0007.5FC5] % ±ÿ
5FC9 ; [.4F2E.0000.0007.5FC9] % ‚·
6209 ; [.4F2F.0000.0007.6209] % ë‡
620A ; [.4F30.0000.0007.620A] % ŒÏ
6250 ; [.4F31.0000.0007.6250] % íA
6251 ; [.4F32.0000.0007.6251] % ∆À
6252 ; [.4F33.0000.0007.6252] % ∞«
6253 ; [.4F34.0000.0007.6253] % ¥Ú
6254 ; [.4F35.0000.0007.6254] % »”
65A5 ; [.4F36.0000.0007.65A5] % ≥‚
65E6 ; [.4F37.0000.0007.65E6] % µ©
672A ; [.4F38.0000.0007.672A] % Œ¥
672B ; [.4F39.0000.0007.672B] % ƒ©
